id_institution_subnet,ratio_active,max_acf
382.0,0.9998511461744567,0.7546346726395172
341.0,0.9998511461744567,0.4816091372217733
101.0,0.9986603155701101,0.7120226120707547
380.0,0.9998511461744567,0.7090402129552525
441.0,0.9994045846978268,0.3903941361387762
167.0,0.9998511461744567,0.9292392536264261
299.0,0.9998511461744567,0.750790144498315
211.0,0.9998511461744567,0.8767208477391171
490.0,0.9998511461744567,0.6648500236325123
345.0,0.9998511461744567,0.5494320427716678
120.0,0.9998511461744567,0.0964296340737812
107.0,0.9998511461744567,0.3697138722849582
450.0,0.9998511461744567,0.7268754383314849
262.0,0.9998511461744567,0.846768236885731
50.0,0.9998511461744567,0.05499617966742794
366.0,0.16433462339982138,0.08315142470031374
16.0,0.9998511461744567,0.28868540231367396
317.0,0.9998511461744567,0.7512620094020466
114.0,0.9998511461744567,0.7025926748642621
20.0,0.9998511461744567,0.3386301714996933
470.0,0.9998511461744567,0.723045316995966
71.0,0.9998511461744567,0.36490698849129627
368.0,0.9974694849657636,0.6887869314311619
217.0,0.8771955939267639,0.6465053963557865
98.0,0.94120273891039,0.6305479368047353
438.0,0.9998511461744567,0.3296602743244047
38.0,0.9998511461744567,0.81487479201706
530.0,0.9904733551652277,0.6016102957881673
84.0,0.9935992855016373,0.9449114813825077
376.0,0.9998511461744567,0.8649225390490431
81.0,0.9776719261685025,0.5892671711347116
521.0,0.9998511461744567,0.2694616596343839
144.0,0.9998511461744567,0.5714043732535321
365.0,0.9998511461744567,0.26015199577975
319.0,0.9998511461744567,0.30201027464713204
49.0,0.9998511461744567,0.07080348870572092
508.0,0.9998511461744567,0.31211929430473
468.0,0.9995534385233701,0.7118383553352312
397.0,0.9998511461744567,0.1270360312693553
513.0,0.2514141113426615,0.36240082963675024
324.0,0.9998511461744567,0.46729134993695537
222.0,0.9998511461744567,0.24416481043813087
525.0,0.9998511461744567,0.06914166570044591
169.0,0.9997022923489134,0.17221217345090975
85.0,0.9998511461744567,0.5749013943829863
505.0,0.9998511461744567,0.5598876452509055
533.0,0.9922596010717476,0.25495134364176675
355.0,0.9998511461744567,0.5747669563512696
431.0,0.9980649002679369,0.02215610339541011
188.0,0.982584102411432,0.7566456261117678
36.0,0.9998511461744567,0.568328290624185
330.0,0.9998511461744567,0.7497599153133515
80.0,0.9998511461744567,0.08008582565533824
243.0,0.9998511461744567,0.603351655311206
272.0,0.9998511461744567,0.3769153214675747
417.0,0.9998511461744567,0.3242331457846903
302.0,0.9998511461744567,0.7369592206955186
264.0,0.9998511461744567,0.802906757798035
